winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
9,10,31,86,103
25,30,35,39,42
17,31,63,96,101
47,54,71,72,111
9,44,63,83,103
31,41,63,74,83
6,30,33,39,91
9,41,68,76,78
42,46,68,92,96
7,8,47,97,111
7,8,46,51,112
39,42,47,78,92
6,13,20,35,102
15,34,65,86,92
16,17,18,33,67
5,42,57,86,98
52,56,72,79,97
13,29,69,87,93
28,34,50,63,88
1,63,64,65,79
7,31,47,77,104
5,7,45,49,51
23,26,48,69,76
4,35,71,96,101
1,3,21,29,71
20,35,47,84,96
10,11,65,79,83
7,30,46,47,99
7,20,34,36,103
7,34,41,56,68
1,20,30,39,65
14,16,34,47,88
21,51,72,85,87
8,27,50,69,73
11,20,22,65,94
9,19,20,65,91
18,42,51,78,89
3,20,39,53,67
2,14,36,63,74
8,30,36,90,110
1,43,86,88,98
20,29,35,73,106
9,25,42,53,101
39,42,47,50,102
15,20,44,78,84
16,32,39,51,91
38,64,80,86,89
9,43,51,86,101
11,98,100,106,112
8,20,39,87,99
1,26,38,74,85
11,30,51,68,69
22,26,86,99,106
1,29,84,97,101
26,44,55,62,97
5,17,42,55,71
7,22,23,31,104
7,12,52,86,112
7,28,74,87,103
29,72,74,87,112
9,54,75,79,96
7,8,17,91,97
20,28,55,64,106
15,23,50,74,89
3,11,96,110,112
21,25,29,84,93
51,60,66,91,95
8,26,28,47,91
26,51,71,74,82
7,30,32,39,64
19,76,86,91,103
2,19,57,91,95
46,47,50,88,102
7,45,73,77,101
7,11,26,39,87
7,26,70,80,106
9,14,30,41,79
1,7,20,78,96
46,62,81,86,91
12,20,46,50,105
56,78,91,99,102
27,51,58,74,89
3,39,51,52,60
20,42,55,75,87
27,39,54,87,98
4,47,49,85,90
6,10,65,75,84
17,54,55,58,73
11,13,16,68,100
13,19,55,90,91
5,21,72,83,89
34,41,49,83,105
10,34,50,71,107
3,21,43,57,70
7,21,25,83,95
20,28,34,48,88
1,21,30,100,112
7,39,68,97,99
27,41,43,69,87
22,26,39,53,54
20,36,74,84,93
7,22,44,46,86
12,46,79,90,97
7,34,73,96,101
4,22,26,39,62
19,64,91,101,106
7,13,31,80,99
12,17,50,65,92
17,52,65,69,80
8,44,64,65,109
5,7,19,97,99
